Symbol,name,country,sector,industry group,industry,exchange
PARAUCO.SN,Parque Arauco S.A.,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
PASUR.SN,Forestal Constructora y Comercial del Pacifico Sur SA,Chile,Financials,Diversified Financials,Capital Markets,SGO
PAZ.SN,Paz Corp S.A.,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
PEHUENCHE.SN,Empresa Eléctrica Pehuenche S.A.,Chile,Utilities,Utilities,Electric Utilities,SGO
POLO.SN,Club de Polo y Equitación San Cristóbal S.A.,Chile,Consumer Discretionary,Consumer Services,Hotels, Restaurants & Leisure,SGO
ITAUCORP.SN,Itaú Corpbanca,Chile,Financials,Banks,Banks,SGO
WATTS.SN,Watt's S.A.,Chile,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,SGO
ZOFRI.SN,Zona Franca de Iquique S.A.,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
CAP.SN,CAP S.A.,Chile,Materials,Materials,Metals & Mining,SGO
CENCOSUD.SN,Cencosud S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,SGO
CENCOSHOPP.SN,Cencosud Shopping S.A.,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
CEMENTOS.SN,Cementos Bio Bio S.A.,Chile,Materials,Materials,Construction Materials,SGO
CCU.SN,Compañía Cervecerías Unidas S.A.,Chile,Consumer Staples,Food, Beverage & Tobacco,Beverages,SGO
CAROZZI.SN,Carozzi S.A.,Chile,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,SGO
CAMANCHACA.SN,Compañía Pesquera Camanchaca S.A.,Chile,Consumer Staples,Household & Personal Products,Household Products,SGO
BSANTANDER.SN,Banco Santander-Chile,Chile,Financials,Banks,Banks,SGO
BLUMAR.SN,Blumar S.A.,Chile,Consumer Staples,Household & Personal Products,Household Products,SGO
BICECORP.SN,Bicecorp S.A.,Chile,Financials,Diversified Financials,Capital Markets,SGO
BOLSASTGO.SN,Bolsa de Comercio de Santiago, Bolsa de Valores,Chile,Financials,Diversified Financials,Capital Markets,SGO
BANVIDA.SN,Banvida S.A.,Chile,Financials,Insurance,Insurance,SGO
AXXION.SN,Axxion S.A.,Chile,Financials,Diversified Financials,Capital Markets,SGO
ANTARCHILE.SN,AntarChile S.A.,Chile,Industrials,Capital Goods,Industrial Conglomerates,SGO
ANDINA-B.SN,Embotelladora Andina S.A.,Chile,Consumer Staples,Food, Beverage & Tobacco,Beverages,SGO
ANDINA-A.SN,Embotelladora Andina S.A.,Chile,Consumer Staples,Food, Beverage & Tobacco,Beverages,SGO
ANASAC.SN,Agrícola Nacional S.A.C. é I.,Chile,Consumer Staples,Household & Personal Products,Household Products,SGO
ALMENDRAL.SN,Almendral S.A.,Chile,Communication Services,Telecommunication Services,Diversified Telecommunication Services,SGO
AGUAS-A.SN,Aguas Andinas S.A.,Chile,Utilities,Utilities,Water Utilities,SGO
BESALCO.SN,Besalco S.A.,Chile,Industrials,Capital Goods,Construction & Engineering,SGO
CFICCARB-E.SN,Credicorp Cap Asset Mgmt Sa Administra - Fondo de Inversión Credicorp Capital Alto Rendimiento CLP,Chile,,,,SGO
CFIBTGRE-E.SN,Btg Pactual Chile Sa Administradora General De Fon - Cuota Fondos De Inversion,Chile,,,,SGO
CFIBTGRRA.SN,BTG Pactual Chile S.A. Administradora General De Fondos - BTG Pactual Renta Residencial Fund,Chile,,,,SGO
CFICARVA-E.SN,Capital Advisors Administradora General de Fondos S.A. - Fundo De Investimento Capital Adv Renta Var,Chile,,,,SGO
CFICELDI1.SN,BTG Pactual Desarrollo Inmobiliario I Fondo de Inversión,Chile,,,,SGO
CFICGLEA-E.SN,Compass Group Chile S.A. Administradora General de Fondos - Compass Latam Equity Fund,Chile,,,,SGO
CFICGGLODB.SN,Compass Group Chile Sa Adm General De Fondos - Compass Global Debt Fondo de Inversión,Chile,,,,SGO
CFICGGLOEA.SN,Compass Global Equity Fondo de Inversion,Chile,,,,SGO
CFIXLCDR-E.SN,XLC Administradora General De Fondo- XLC Deuda Privada Fund,Chile,,,,SGO
CFIBTGRCA.SN,BTG Pactual Renta Comercial F. I,Chile,,,,SGO
CFICGGLODA.SN,Compass Group Chile Sa Adm General De Fondos - Compass Global Debt Fondo de Inversión,Chile,,,,SGO
CFIBTGGRA.SN,BTG Pactual Chile S.A. Administradora General De Fondos - BTG Global REITS Fondo de Inversion,Chile,,,,SGO
CFIBGRESTA.SN,Banchile Administradora General De Fondos SA - Fondo De Inversion Banchile Global Real Estate,Chile,,,,SGO
CFIBTGEU.SN,BTG Pactual Chile S.A. Administradora General De Fondos - BTG Pactual Estados Unidos Fundo De Invesi,Chile,,,,SGO
CFIBTGDL-E.SN,BTG Pactual Deuda Latinoamericana Fondo de Inversión,Chile,,,,SGO
CFIBTGDAPA.SN,BTG Pactual Chile S.A. Administradora General De Fondos - BTG Pactual Deuda Activa Plus Fund,Chile,,,,SGO
CFIBTGCYFA.SN,BTG Pactual Credito Y Facturas Fondo De Inversion,Chile,,,,SGO
CFIBRE6C-E.SN,Compass Group Chile S.A. Administradora General de Fondos - Compass Brep EU VI Real Estate Fondo De,Chile,,,,SGO
CFIBPDCCHA.SN,BTG Pactual Deuda Corporativa Chile Fondo de Inversion,Chile,,,,SGO
CFIBMPEM-E.SN,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,Chile,,,,SGO
CFIBICRVII.SN,Bice Renta Variable Internacional Fondo De Inversion I,Chile,,,,SGO
CFIXDPFR-E.SN,XLC Administradora General De Fondos SA - XLC Deuda Privada Fintech FI Fund,Chile,,,,SGO
CFIBEQTREA.SN,Banchile Administradora General - Fondo De Inversion Equity Trends Fund,Chile,,,,SGO
CFIBTGFGIA.SN,BTG Pactual Chile S.A. Administradora General De Fondos - BTF Finacimiento Garantias Inmov Fund,Chile,,,,SGO
CFIXDPFB-E.SN,XLC Administradora General De Fondos SA - XLC Deuda Privada Fintech FI Fund,Chile,,,,SGO
CFITODPF-E.SN,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion,Chile,,,,SGO
CFIWEG-2I.SN,Fondo De Inversion Weg 2,Chile,,,,SGO
CFISANTDCA.SN,Santander Sa Admin General De Fondo - Fondo De Inversion Santander Deuda Corporativa Fund,Chile,,,,SGO
CFISANTDLA.SN,Santander Sa Admin General De Fondo - Fondo De Inversion Santander Deuda Corporativa Fund,Chile,,,,SGO
CFISCCH.SN,BTG Pactual Small Cap Chile,Chile,,,,SGO
CFISECHYCF.SN,Fondo De Inversion Security Hy Chile Serie F - Cuota De Fondo De Inversion,Chile,,,,SGO
CFISECRFN3.SN,Fondo De Inversion Security Renta Fija Nacional,Chile,,,,SGO
CFISECRI1A.SN,Administradora General De Fondos Security SA - Fondo De Inversion Security Rentas Inmobiliarias I,Chile,,,,SGO
CFISMH1A-E.SN,Singular Asset Management Adm Gen Fondos SA - Fondo de Inversion Singular Residential Fund,Chile,,,,SGO
CFISMH1B-E.SN,Singular Asset Management Adm Gen Fondos SA - Fondo de Inversion Singular Residential Fund,Chile,,,,SGO
CFISUDCHE.SN,Administradora General de Fondos Sura, S.A. - Fondo de Inversión SURA Deuda Chile Fund,Chile,,,,SGO
CFISURI3.SN,Administradora General de Fondos Sura, S.A.-Fondo de Inversion Sura Renta Inmobiliara III,Chile,,,,SGO
CFITACPI-E.SN,Tanner Asset Management ADM GE Fund SA - Tam ACPI Private Debt Fondo De Inversion Fund,Chile,,,,SGO
CFITACTI-A.SN,Sartor Administradora General de Fondos S.A. - Fondo De Inversion Sartor Tactico Fund,Chile,,,,SGO
CFITAINA.SN,Sartor Administradora General de Fondos S.A. - Fondo De Inversion Sartor Tactico Fund,Chile,,,,SGO
CFITODPA-E.SN,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion,Chile,,,,SGO
CFIBEDRA-E.SN,Fondo de Inversion EDR Fund Emerging Credit,Chile,,,,SGO
CFITODPS-E.SN,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion,Chile,,,,SGO
CFITOERI1A.SN,Toesca Rentas Inmobiliarias Fondo de Inversión,Chile,,,,SGO
CFITOERI1C.SN,Toesca Rentas Inmobiliarias Fondo de Inversión,Chile,,,,SGO
CFITOERRA.SN,Toesca S.A. Administradora General De Fondos - Toesca Renta Residencial Fondo De Inversion,Chile,,,,SGO
CFITREDA.SN,BTG Pactual T. Rowe Price Flexible Emerging Market Debt Fondo De Inversión Fund,Chile,,,,SGO
CFIVCOIA-E.SN,Volcomcapital Administradora General De Fondos SA - Volcomcapital Coinversions Investment Fund,Chile,,,,SGO
CFIVDP2A-E.SN,Volcomcapital ADM General De Fondos S.A - Fondo de Invesion Deuda Privada Peru Fund,Chile,,,,SGO
CFIWEG-1.SN,Weg ADM General De Fondos SA - Fondo De Inversion Weg-1 Fund,Chile,,,,SGO
CFIWEG-3.SN,Weg ADM General De Fondos SA - Fondo De Inversion Weg-3 Fund,Chile,,,,SGO
CFIBCISCCL.SN,BCI Asset Management Administradora General De Fondos SA - BCI Small Cap Chile Fondo De Inversión,Chile,,,,SGO
CFIBCHDALT.SN,Banchile Administradora General - Fondo De Inversion Deuda Alto Rendimiento Fund,Chile,,,,SGO
CFIBCHSMCA.SN,Chile Fondo de Inversion Small Cap,Chile,,,,SGO
CFIAMDDI-E.SN,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund,Chile,,,,SGO
CFIAMDDC-E.SN,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund,Chile,,,,SGO
CFIAMDDA-E.SN,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund,Chile,,,,SGO
CFIALHDB-E.SN,Larrain Vial Activos SA Admin Gen - Fondo de Inversion Activa Leasing Habitacional Deuda Hipotecaria,Chile,,,,SGO
CFIALHDA-E.SN,Larrain Vial Activos SA Admin Gen - Fondo de Inversion Activa Leasing Habitacional Deuda Hipotecaria,Chile,,,,SGO
CFIALGTB-E.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris LGT CCO II Fondo De Inversion,Chile,,,,SGO
CFIALGTA-E.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris LGT CCO II Fondo De Inversion,Chile,,,,SGO
CFIAFIIB-E.SN,Larrain Vial Activos Sa Admin Gen - Fondo Inversion Activa Financiamiento Inmobiliario Fund,Chile,,,,SGO
CFIAFIIA-E.SN,Larrain Vial Activos Sa Admin Gen - Fondo Inversion Activa Financiamiento Inmobiliario Fund,Chile,,,,SGO
CFIAFESA.SN,Larrain Vial Activos S A - Cuota De Fondo De Inversion,Chile,,,,SGO
CFIAEA-E.SN,Larrain Vial Activos Sa Admin Gen - Fondo Inversion Activa Estrategia Auto Fund,Chile,,,,SGO
CFIADI6A-E.SN,Ameris Capital Administradora General de Fondos S.A.- FI Ameris Desarrollo Inmobiliario Peru Fund,Chile,,,,SGO
CFIADH3R.SN,Larrain Vial Activos S A - Cuota De Fondo De Inversion,Chile,,,,SGO
CFIADGHI.SN,Ameris Cap Administra Gen De Fondos SA - Ameris Deuda con Garantia Hipotecaria Fondo de Inversion,Chile,,,,SGO
CFIADGHC.SN,Ameris Cap Administra Gen De Fondos SA - Ameris Deuda con Garantia Hipotecaria Fondo de Inversion,Chile,,,,SGO
CFIADAG-A.SN,Fondo De Inversion Activa Deuda Automotriz Global - Cuota De Fondo De Inversion,Chile,,,,SGO
CFIACOLA-E.SN,Ameris Financiamiento Colateralizado I Fondo De Inversion,Chile,,,,SGO
CFIACESC-E.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris CESL II Fondo De Inversion Fund,Chile,,,,SGO
CFIACESB-E.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris CESL II Fondo De Inversion Fund,Chile,,,,SGO
CFIACESA-E.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris CESL II Fondo De Inversion Fund,Chile,,,,SGO
CFIACCIA-E.SN,Ameris Capital Administradora General de Fondos S.A. - Ameris Carteras Comerciales Fondo de Inversio,Chile,,,,SGO
CFI-OREIAE.SN,Singular Asset Mgmt Admgral De Fondos Sa - Fondo de Inversion Singular Oaktree Real Estate Income,Chile,,,,SGO
CFI-CGGLTB.SN,Copass Group Chile - Compass Global Trends Fund,Chile,,,,SGO
CFIAMDHY-B.SN,Ameris Deuda Corporativa Chile High Yield Fondo De Inversion,Chile,,,,SGO
CFIBCHUETA.SN,Banchile Administradora General - Fondo De Inversion USA Equity Fund,Chile,,,,SGO
CFIAMDVACA.SN,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris DVA All Cap Chile Fu,Chile,,,,SGO
CFIAMDVAMA.SN,Compass Group Chile S.A. Administradora General de Fondos - Fondo de Inversión Compass DVA Multiaxis,Chile,,,,SGO
CFIBCHREN1.SN,Fondo de Inversión Banchile Rentas Inmobiliarias,Chile,,,,SGO
CFIBCHMPUS.SN,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,Chile,,,,SGO
CFIBCHMPGB.SN,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,Chile,,,,SGO
CFIBCHLCHY.SN,Fondo De Inversion Latam Corporate High Yield,Chile,,,,SGO
CFIBCHEMEQ.SN,Banchile Administradora General de Fondos SA - Banchile Fund Inversion Emerging Equity Fund,Chile,,,,SGO
CFIBCHEETA.SN,Banchile Administradora General - Fondo De Inversion Europe Equity,Chile,,,,SGO
CFIBCHDEGB.SN,Banchile Administradora General - Fondo de Inversion Deuda Global Fund,Chile,,,,SGO
CFIBCHDECH.SN,Banchile Administradora General - Fondo de Inversión Deuda Chilena Fund,Chile,,,,SGO
CFISANDCHA.SN,Santander SA Administradora General de Fondos - Fondo de Inversion Santander Deuda Fund,Chile,,,,SGO
CFIBCHBLEN.SN,Fondo de Inversion Chile Blend,Chile,,,,SGO
CFIBANOROA.SN,Banchile Adm General De Fondos Sa - Fondo de Inversión Banchile Oro,Chile,,,,SGO
CFIBAIN10A.SN,Banchile Adm General De Fondos SA - Fondo De Inversion Inmobiliario X,Chile,,,,SGO
CFIBACHLAT.SN,Small Mid Cap Latam Fondo de Inversion,Chile,,,,SGO
CFIASSCP-E.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris Finance Corto Plazo Fondo De Inversion,Chile,,,,SGO
CFIASPCP-E.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris Finance Corto Plazo Fondo De Inversion,Chile,,,,SGO
CFIAMN9A-E.SN,Ameris Capital Administradora General de Fondos S.A - Ameris Private Equity Fund,Chile,,,,SGO
CFIAMG3R-E.SN,Ameris Capital Administradora General de Fondos S.A. - Ameris NM Guardian III Fund,Chile,,,,SGO
CFIAMG2A-E.SN,Ameris Capital Administradora General de Fondos S.A. - Ameris NM Guardian II Fund,Chile,,,,SGO
CFIAMDVATA.SN,Ameris Capital Administradora General de Fondos S.A - Ameris DVA Medtech Fund,Chile,,,,SGO
CFIAMDVASC.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris Dva Silicon Fund Fondo De Inversion,Chile,,,,SGO
CFIAMDVASA.SN,Ameris Capital Administradora General De Fondos S.A. - Ameris Dva Silicon Fund Fondo De Inversion,Chile,,,,SGO
CFIAMDVAMD.SN,Compass Group Chile S.A. Administradora General de Fondos - Fondo de Inversión Compass DVA Multiaxis,Chile,,,,SGO
CFIAMDVAMC.SN,Compass Group Chile S.A. Administradora General de Fondos - Fondo de Inversión Compass DVA Multiaxis,Chile,,,,SGO
CFIAMDVADA.SN,Ameris Capital Administradora General de Fondos S.A.- DVA Deuda Privada USA FI Fund,Chile,,,,SGO
CFIRENTCOM.SN,Sartor Administradora General De Fondos Sa - Fondo de Inversion Sartor Renta Comercial,Chile,,,,SGO
CFIQRL-A.SN,CHG Renta Local Fondo de Inversión,Chile,,,,SGO
CFIQRGH.SN,Chg Renta Global Fondo De Inversion,Chile,,,,SGO
CFIFYNMIGD.SN,Fondo de Inversion Fynsa Migrante,Chile,,,,SGO
CFIFYNRF2A.SN,Fondo De Inversion Fynsa Renta Fija Privada II,Chile,,,,SGO
CFIFYNSAD2.SN,FYNSA Adm Gen De Fondos Sa - Fondo De Inversión Fynsa Desarollo Inmobiliario,Chile,,,,SGO
CFIFYNSADB.SN,FYNSA Administradora General De Fondos S.A.- Fondo De Inversion Fynsa Deuda Chile Fund,Chile,,,,SGO
CFIFYNSAVE.SN,Fondo De Inversion Fynsa Renta Fija Privada I Serie Ejecutiva,Chile,,,,SGO
CFIGC.SN,Singular Asset Management Adm Gen Fondos SA - Fondo de Inversion Singular Global Corporates Fund,Chile,,,,SGO
CFIGCPA-E.SN,Compass Global Credit CLP Fondo de Inversión,Chile,,,,SGO
CFIGCPB-E.SN,Compass Global Credit CLP Fondo de Inversión,Chile,,,,SGO
CFIGCPC-E.SN,Compass Global Credit CLP Fondo de Inversión,Chile,,,,SGO
CFIGCUA-E.SN,Compass Global Credit CLP Fondo de Inversión,Chile,,,,SGO
CFIHMCBGLA.SN,HMC SA Administradora General De Fondos - Fondo de Inversión HMC Balanceado Global Fund,Chile,,,,SGO
CFIHMCDPGP.SN,HMC SA Administradora General De Fondos - Fondo de Inversión HMC Deuda Privada Global Fund,Chile,,,,SGO
CFIHMCRGPB.SN,Nevasa HMC SA Administradora General De Fondos - Fondo de Inversion HMC Renta Global Pesos,Chile,,,,SGO
CFIFYNMIGA.SN,Fondo de Inversion Fynsa Migrante,Chile,,,,SGO
CFIHMI3R-E.SN,Nevasa Hmc Sa Administradora General De Fondos - Cuota De Fondo De Inversion,Chile,,,,SGO
CFIIMSCLB.SN,Fondo de Inversión Credicorp Capital Spread Corporativo Local,Chile,,,,SGO
