deal_id;status;bot;account;bot_id;bot_pairs;strategy;signals;pair;take_profit_condition;safety_order_volume / base_order_volume;safety_order_step_percentage;take_profit_type;created_at;closed_at;duration;profit_percentage_from_total_volume;profit_percentage_from_base_volume;max_safety_orders_count;active_safety_orders_count;used_safety_orders;martingale_volume_coefficient;martingale_step_coefficient;safety_order_volume;safety_order_volume_type;base_order_volume;base_order_volume_type;bought_volume;sold_volume;bought_amount;sold_amount;final_profit;close_date;note
2090937980;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-24 21:46:19;2023-03-24 22:44:10;3470.925761;1.5081550084232085;1.5233367;6;1;0;1.5;1.5;10.0;quote_currency;10.0;quote_currency;10.100664;10.2520417;274.1256;274.1;0.15233367;2023-03-24;
2091298712;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-25 12:41:19;2023-03-26 00:09:15;41276.509098;1.5078105720939867;5.2938228;6;1;2;1.5;1.5;10.0;quote_currency;10.0;quote_currency;35.109336;35.63510422;906.5925;906.5;0.52938228;2023-03-26;
2091727737;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-26 06:02:24;2023-03-26 13:44:44;27739.464359;1.508262923252352;1.5237558;6;1;0;1.5;1.5;10.0;quote_currency;10.0;quote_currency;10.10272;10.25361013;261.738;261.7;0.15237558;2023-03-26;
2091954522;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-26 14:50:22;2023-03-27 04:10:35;48013.040808;1.52051286719335;3.0568266;6;1;1;1.5;1.5;10.0;quote_currency;10.0;quote_currency;20.103918;20.40662794;523.1763;523.1;0.30568266;2023-03-27;
2092368864;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-27 08:50:23;2023-03-29 03:36:30;153966.640574;1.5068676469173292;13.766266199999999;6;1;4;1.5;1.5;10.0;quote_currency;10.0;quote_currency;91.356837;92.7330701;2586.411;2586.4;1.37662662;2023-03-29;
2093869218;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-29 10:27:20;2023-03-30 00:13:34;49574.386979;1.521393217952254;3.0586249;6;1;1;1.5;1.5;10.0;quote_currency;10.0;quote_currency;20.104105;20.40859997;561.7377;561.7;0.30586249;2023-03-30;
2094425351;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-30 03:36:27;2023-03-30 07:12:39;12972.541101;1.5135238718486899;1.5282998;6;1;0;1.5;1.5;10.0;quote_currency;10.0;quote_currency;10.097626;10.24988585;283.9158;283.9;0.15282998;2023-03-30;
2094529343;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-30 07:13:19;2023-03-30 07:14:31;72.050854;1.5226746971256633;1.5383887;6;1;0;1.5;1.5;10.0;quote_currency;10.0;quote_currency;10.1032;10.25617855;276.5232;276.5;0.15383887;2023-03-30;
2094529862;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-30 07:14:31;2023-03-30 07:18:28;237.238185;1.5175470190293763;1.5328445;6;1;0;1.5;1.5;10.0;quote_currency;10.0;quote_currency;10.100804;10.25301572;271.3284;271.3;0.15328445;2023-03-30;
2094603846;completed;PERL/USDT Long Bot;My Binance;10880008;1;long;"[{""options"":{""time"":""1m"",""type"":""buy_or_strong_buy""},""strategy"":""trading_view""},{""options"":{""time"":""15m"",""points"":""40"",""time_period"":""7"",""trigger_condition"":""less""},""strategy"":""rsi""}]";USDT_PERL;1.5;1.0;2.0;total_bought_volume;2023-03-30 09:43:23;2023-03-31 15:03:36;105613.573602;1.507256376709077;5.2913979;6;1;2;1.5;1.5;10.0;quote_currency;10.0;quote_currency;35.106157;35.63412021;1063.5354;1063.5;0.52913979;2023-03-31;
